date,home_team,away_team,league
2026-05-09,Liverpool FC,Chelsea FC,England Premier League
2026-05-09,Sunderland AFC,Manchester United FC,England Premier League
2026-05-09,Brighton & Hove Albion FC,Wolverhampton Wanderers FC,England Premier League
2026-05-09,Fulham FC,AFC Bournemouth,England Premier League
2026-05-09,Manchester City FC,Brentford FC,England Premier League
2026-05-10,Crystal Palace FC,Everton FC,England Premier League
2026-05-10,Burnley FC,Aston Villa FC,England Premier League
2026-05-10,Nottingham Forest FC,Newcastle United FC,England Premier League
2026-05-10,West Ham United FC,Arsenal FC,England Premier League
2026-05-11,Tottenham Hotspur FC,Leeds United FC,England Premier League
2026-05-17,Aston Villa FC,Liverpool FC,England Premier League
2026-05-17,Manchester United FC,Nottingham Forest FC,England Premier League
2026-05-17,Brentford FC,Crystal Palace FC,England Premier League
2026-05-17,Everton FC,Sunderland AFC,England Premier League
2026-05-17,Leeds United FC,Brighton & Hove Albion FC,England Premier League
2026-05-17,Wolverhampton Wanderers FC,Fulham FC,England Premier League
2026-05-17,Newcastle United FC,West Ham United FC,England Premier League
2026-05-18,Arsenal FC,Burnley FC,England Premier League
2026-05-24,Sunderland AFC,Chelsea FC,England Premier League
2026-05-24,Brighton & Hove Albion FC,Manchester United FC,England Premier League
2026-05-24,Crystal Palace FC,Arsenal FC,England Premier League
2026-05-24,Burnley FC,Wolverhampton Wanderers FC,England Premier League
2026-05-24,Fulham FC,Newcastle United FC,England Premier League
2026-05-24,Liverpool FC,Brentford FC,England Premier League
2026-05-24,Manchester City FC,Aston Villa FC,England Premier League
2026-05-24,Nottingham Forest FC,AFC Bournemouth,England Premier League
2026-05-24,Tottenham Hotspur FC,Everton FC,England Premier League
2026-05-24,West Ham United FC,Leeds United FC,England Premier League
2026-05-08,Levante UD,CA Osasuna,Spain La Liga
2026-05-09,Elche CF,Deportivo Alavés,Spain La Liga
2026-05-09,Sevilla FC,RCD Espanyol de Barcelona,Spain La Liga
2026-05-09,Club Atlético de Madrid,RC Celta de Vigo,Spain La Liga
2026-05-09,Real Sociedad de Fútbol,Real Betis Balompié,Spain La Liga
2026-05-10,RCD Mallorca,Villarreal CF,Spain La Liga
2026-05-10,Athletic Club,Valencia CF,Spain La Liga
2026-05-10,Real Oviedo,Getafe CF,Spain La Liga
2026-05-10,FC Barcelona,Real Madrid CF,Spain La Liga
2026-05-11,Rayo Vallecano de Madrid,Girona FC,Spain La Liga
2026-05-12,RC Celta de Vigo,Levante UD,Spain La Liga
2026-05-12,Real Betis Balompié,Elche CF,Spain La Liga
2026-05-12,CA Osasuna,Club Atlético de Madrid,Spain La Liga
2026-05-13,RCD Espanyol de Barcelona,Athletic Club,Spain La Liga
2026-05-13,Villarreal CF,Sevilla FC,Spain La Liga
2026-05-13,Deportivo Alavés,FC Barcelona,Spain La Liga
2026-05-13,Getafe CF,RCD Mallorca,Spain La Liga
2026-05-14,Valencia CF,Rayo Vallecano de Madrid,Spain La Liga
2026-05-14,Girona FC,Real Sociedad de Fútbol,Spain La Liga
2026-05-14,Real Madrid CF,Real Oviedo,Spain La Liga
2026-05-24,Deportivo Alavés,Rayo Vallecano de Madrid,Spain La Liga
2026-05-24,Real Betis Balompié,Levante UD,Spain La Liga
2026-05-24,RC Celta de Vigo,Sevilla FC,Spain La Liga
2026-05-24,RCD Espanyol de Barcelona,Real Sociedad de Fútbol,Spain La Liga
2026-05-24,Getafe CF,CA Osasuna,Spain La Liga
2026-05-24,RCD Mallorca,Real Oviedo,Spain La Liga
2026-05-24,Real Madrid CF,Athletic Club,Spain La Liga
2026-05-24,Villarreal CF,Club Atlético de Madrid,Spain La Liga
2026-05-24,Valencia CF,FC Barcelona,Spain La Liga
2026-05-24,Girona FC,Elche CF,Spain La Liga
2026-05-17,AS Roma,SS Lazio,Italy Serie A
2026-05-17,Atalanta BC,Bologna FC 1909,Italy Serie A
